date,pm25_mean,pm25_std,sensor_count,temp_avg,temp_min,temp_max,precipitation,snow,wind_speed,wpgt,pressure,wpgt_missing,temp_range,is_rainy,wind_calm,high_pressure,co_mean,no2_mean,o3_mean,pm10_mean,so2_mean
2016-01-30,6.5,0.0,1,7.4,4.8,10.9,5.6,0.0,23.8,31.5,1009.7,0,6.1000000000000005,1,0,0,24.2275,24.2275,24.2275,29.37419354838709,24.2275
2016-01-31,8.52,0.0,1,8.6,3.7,13.0,0.0,0.0,18.6,31.5,1009.0,0,9.3,0,0,0,23.18,23.18,23.18,27.436129032258066,23.18
2016-02-01,9.33,0.0,1,12.1,9.6,14.0,1.3,0.0,31.8,31.5,1014.7,0,4.4,1,0,0,26.3575,26.3575,26.3575,31.300967741935484,26.3575
2016-02-02,10.9,0.0,1,7.9,4.3,9.6,0.0,0.0,26.5,31.5,1015.0,0,5.3,0,0,0,30.2,30.2,30.2,35.803225806451614,30.2
2016-02-03,9.3,0.0,1,4.9,1.9,8.7,0.3,0.0,18.5,31.5,1021.9,0,6.799999999999999,1,0,1,26.45,26.45,26.45,31.42903225806452,26.45
2016-02-04,10.0,0.0,1,9.3,3.8,13.5,0.0,0.0,17.4,31.5,1025.0,0,9.7,0,0,1,23.2525,23.2525,23.2525,27.1,23.2525
2016-02-05,11.3,0.0,1,10.2,9.0,11.7,0.0,0.0,21.4,31.5,1018.1,0,2.6999999999999997,0,0,0,23.48,23.48,23.48,26.153658536585365,23.48
2016-02-06,9.58,0.0,1,10.2,7.8,12.0,1.3,0.0,30.2,31.5,997.8,0,4.2,1,0,0,23.095,23.095,23.095,27.01870967741936,23.095
2016-02-07,9.21,0.0,1,7.0,4.5,9.7,6.9,0.0,25.0,31.5,991.7,0,5.199999999999999,1,0,0,23.5275,23.5275,23.5275,27.684193548387096,23.5275
2016-02-08,8.91,0.0,1,7.8,6.2,9.1,14.5,0.0,37.6,31.5,986.7,0,2.8999999999999995,1,0,0,22.482,22.482,22.482,25.46121951219512,22.482
2016-02-09,10.9,0.0,1,5.2,3.6,7.4,1.8,0.0,17.9,31.5,988.5,0,3.8,1,0,0,32.93333333333333,32.93333333333333,32.93333333333333,42.37619047619047,32.93333333333333
2016-02-10,10.899307450157398,0.0,0,5.2,-0.7,8.0,0.5,0.0,16.0,31.5,996.8,0,8.7,1,0,0,32.233333333333334,32.233333333333334,32.233333333333334,32.233333333333334,32.233333333333334
2016-02-11,10.898614900314795,0.0,0,2.3,-2.8,8.2,0.5,0.0,4.1,31.5,1003.8,0,11.0,1,1,0,33.36666666666667,33.36666666666667,33.36666666666667,33.36666666666667,33.36666666666667
